133
t_index	tf-idf
14	0.08787084482035154
991	0.05117155136951173
1139	0.039133230773051225
1325	0.019521926646970493
1791	0.14812736213035968
1895	0.07446744329104654
1996	0.0465436121454219
2014	0.28112504435123126
2072	0.05213844847429747
2156	0.13184375210028523
2603	0.02593799007920133
2719	0.04403735802937986
2836	0.04765870949206659
2994	0.06783715816475812
3070	0.034512056785419416
3100	0.0837387714296606
3189	0.09403438048526574
3191	0.06683839078515393
3302	0.0783455435763911
4052	0.09288818811960317
4163	0.10241348936356362
4247	0.05792986015562573
4278	0.039133230773051225
4342	0.07346762076610147
4481	0.06361828288905437
4552	0.03057323720176437
4556	0.07660457808952874
4658	0.0725086189003207
4726	0.059228106666611845
4794	0.06745516139958617
5320	0.05161782254806977
5380	0.035658249151081976
5491	0.0777507704551913
5630	0.07497948756112835
5667	0.09288818811960317
5668	0.03178653350592841
5693	0.04417761088439994
5898	0.06146716042511685
5953	0.008796554316111196
6020	0.04638854700527165
6149	0.06004294962607403
6154	0.07660457808952874
6361	0.03727904924326587
6379	0.08530550410226377
6397	0.03097074725174273
6513	0.05194185918115642
6603	0.04608145395996467
6715	0.057184010736027024
7005	0.10415445485042599
7083	0.14408681993411726
7133	0.0795822650846735
7238	0.049881454826842614
7459	0.07113974919504026
7498	0.018275104731830444
7555	0.03041609759621137
7567	0.04053617196137161
7655	0.0497028054226514
7706	0.08612987933348919
7885	0.21615787351367033
7953	0.0670167005508762
7979	0.03970764284746574
8030	0.06862030679849794
8131	0.03306592131522092
8361	0.2960971880717721
8375	0.07446744329104654
8527	0.033687681554194
8760	0.09288818811960317
8783	0.13269016647081303
8847	0.02359913139276104
8857	0.027064775352939753
9178	0.014527325153404023
9197	0.02699697650808028
9218	0.2082312506277564
9248	0.0529416817061015
9284	0.07204340996705863
9613	0.03845653856058011
9649	0.053985955111741236
9826	0.042028246890723236
9870	0.12231845085632478
9944	0.028680726176154376
10018	0.016305073972580048
10021	0.0377023450816668
10024	0.1265973101091981
10156	0.050061473205332066
10221	0.09403438048526574
10272	0.03846197700881139
10325	0.12788463904428204
10357	0.05079566681549385
10444	0.06329865505459906
10575	0.13341862395997495
10706	0.09523937709549496
10830	0.1155601420702108
10899	0.09785232124109353
11222	0.028816351062878977
11435	0.07113974919504026
11451	0.07298322662684202
11453	0.11953636588970634
11665	0.12231845085632478
11672	0.08698423833832947
11696	0.08156871121101908
11835	0.1015913336309877
12100	0.07113974919504026
12200	0.051746901353236216
12240	0.04917486672330997
12288	0.08879222893039512
12302	0.12231845085632478
12355	0.24017179850429612
12380	0.06394231952214102
12528	0.05622500887024626
12690	0.1266016005454146
12856	0.026271856169883097
12897	0.045778323516242225
12904	0.05898942697233558
12928	0.06460411774854413
12968	0.05856577994091147
13027	0.15434136920277933
13035	0.055303624760202674
13159	0.02860810700414569
13274	0.1266016005454146
13721	0.032460193526796195
13754	0.055303624760202674
13900	0.056461114208765394
13966	0.056461114208765394
13994	0.1155601420702108
14014	0.025111383332093153
14029	0.03625302227228178
14095	0.04417761088439994
14212	0.058183833260972116
14214	0.11648487758398848
14217	0.04815330214828159
14228	0.07158723479027711
14315	0.01903451739079255
14365	0.05024288170089273
